|     Function                                 |     Goal                                                                                                                                                                                                                                                                                                                                                     |     Comments   on utils transfer function                                                                  |     Comments   on control Transfer function                                                                                                          |
|----------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|
|     astf()                                   |     Return a   transfer function object                                                                                                                                                                                                                                                                                                                      |     Works for   deadtime as well                                                                           |     No   solution.                                                                                                                                   |
|     polylatex()                              |     Return   latex representation of a polynomial                                                                                                                                                                                                                                                                                                            |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     circle()                                 |     Return the   coordinates of a circle                                                                                                                                                                                                                                                                                                                     |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     RHPonly()                                |     Returns   only RHP-poles or zeros                                                                                                                                                                                                                                                                                                                        |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     matrix_as_scalar()                       |     Returns a   scalar from 1x1 matrix                                                                                                                                                                                                                                                                                                                       |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     scaling()                                |     Receives   symbolic matrix of plant and disturbance transfer functions as well as an array   of maximum deviations, scales plant variables according to eq () and ()                                                                                                                                                                                     |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     tf_step()                                |     Validate   the step response data of a transfer function by considering dead time and   constraints. A unit step response is generated.                                                                                                                                                                                                                  |     Works for   SISO systems with deadtime                                                                 |     Doesn’t   work for control tf.     Alternative: Control.step_response(). For MIMO   and SISO systems                                             |
|     common_roots_ind()                       |     Returns   the indices of common (approximately equal) roots of two polynomials                                                                                                                                                                                                                                                                           |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     cancel_by_ind()                          |     Removes   roots by index, returns the number of roots that have been removed                                                                                                                                                                                                                                                                             |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     polygcd()                                |     Find the   approximate Greatest Common Divisor of two polynomials                                                                                                                                                                                                                                                                                        |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     polylcm()                                |     Finds the   approximate lowest common multiple of two polynomials                                                                                                                                                                                                                                                                                        |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     multi_polylcm()                          |     Finds the   approximate lowest common multiple of multiple polynomials                                                                                                                                                                                                                                                                                   |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     arrayfun()                               |     Recurses   down to scalar elements in A, then applies f, returning lists containing the   result                                                                                                                                                                                                                                                         |     N/A                                                                                                    |     N/A                                                                                                                                              |
|     listify():                               |     Transform   a gain value into a transfer function.                                                                                                                                                                                                                                                                                                       |     Returns a   value that can be entered to a tf as numerator or denominator when building   function.    |     Returns a   value that can be entered to a tf as numerator or denominator when building   function.                                              |
|     det()                                    |     Calculate   determinant via elementary operations                                                                                                                                                                                                                                                                                                        |     Works if   deadtimes are the same                                                                      |     Not   working properly.                                                                                                                          |
|     tf class                                 |                                                                                                                                                                                                                                                                                                                                                              |                                                                                                            |                                                                                                                                                      |
|     tf.step   ():                            |     Calculate   the time Euclid step response of a tf object.                                                                                                                                                                                                                                                                                                |     Works for   normal and tf with deadtime. Control function doesn’t work with utils step.                |     Doesn’t   work for control tf.     Alternative: Control.step_response(). For MIMO   and SISO systems                                             |
|     tf.lsim()                                |     Negative   step response                                                                                                                                                                                                                                                                                                                                 |     Doesn’t   work for deadtime.                                                                           |     Doesn’t   work for control tf.     Alternative: Control.forced_respone()                                                                         |
|     tf.inverse()                             |     The inverse   of the transfer function                                                                                                                                                                                                                                                                                                                   |     Works for deadtime.                                                                                    |     Doesn’t   work for control tf.     Alternative:     1/G                                                                                          |
|     Tf.simplify()                            |     Polynomial   simplification                                                                                                                                                                                                                                                                                                                              |     Works for   deadtime                                                                                   |     Doesn’t   work     Alternative:     Sympy.simplify()                                                                                             |
|     tf. Simplify_euclid()                    |     Cancels   GCD from both the numerator and denominator.             Uses the Euclidean algorithm for   polynomial gcd                                                                                                                                                                                                                                     |     Works for   deadtime                                                                                   |     No   alternative                                                                                                                                 |
|     tf.poles()                               |     Returns   poles for the system                                                                                                                                                                                                                                                                                                                           |     Works for   deadtime                                                                                   |     Doesn’t   work     Alternative     G.pole() –   No MIMO support yet                                                                              |
|     tf.zeros()                               |     Returns   zeros for the system                                                                                                                                                                                                                                                                                                                           |     Works for   deadtime                                                                                   |     Doesn’t   work     Alternative     G.zero() –   MIMO supported                                                                                   |
|     +, -, /, *                               |     Operations   with transfer functions                                                                                                                                                                                                                                                                                                                     |     Supported   as long as deadtime are same                                                               |     Have own   operators build in                                                                                                                    |
|     mimotf class                             |                                                                                                                                                                                                                                                                                                                                                              |                                                                                                            |                                                                                                                                                      |
|     mimotf()                                 |     Represents   MIMO transfer function matrix                                                                                                                                                                                                                                                                                                               |     Create   with deadtime                                                                                 |     Can’t   create using normal control tf.     Alternative:     Control   library can create own MIMO systems using control.tf()                    |
|     mimotf.det()                             |     Returns   determinant of MIMO function                                                                                                                                                                                                                                                                                                                   |     Works if   deadtime is the same.                                                                       |     Doesn’t   work     Alternative:     None                                                                                                         |
|     mimotf.poles()                           |     Returns   the poles                                                                                                                                                                                                                                                                                                                                      |     Deadtimes   must be the same.                                                                          |     G.pole()   in control library                                                                                                                    |
|     mimotf.zeros()                           |     Returns   the zeros                                                                                                                                                                                                                                                                                                                                      |     Deadtimes   must be the same.                                                                          |     No support   for MIMO function yet                                                                                                               |
|     mimotf.cofactor_mat()                    |     Returns   cofactor matrix                                                                                                                                                                                                                                                                                                                                |     Works for deadtimes                                                                                    |     No   solution or alternative                                                                                                                     |
|     mimotf.inverse()                         |     Returns   inverse for system                                                                                                                                                                                                                                                                                                                             |     Deadtimes   must be the same                                                                           |     No   solution or alternative                                                                                                                     |
|     mimotf.step()                            |     Calculate   the time domain step response of a mimotf object.                                                                                                                                                                                                                                                                                            |     Works for   normal and tf with deadtime.                                                               |     Doesn’t   work for control tf.     Alternative: Control.step_response(). For MIMO   and SISO systems                                             |
|     mimotf.add_deadtime()                    |     Adds   deadtime to transfer functions within a mimotf.                                                                                                                                                                                                                                                                                                   |     Works for   deadtime as well                                                                           |     No   alternative or solution                                                                                                                     |
|     mimotf.add_padeapprox_deadtime()         |     Adds first   order pade deadtime approx to transfer functions within a mimotf.                                                                                                                                                                                                                                                                           |     Works for   deadtime system as well.                                                                   |     Doesn’t   work for control tf     Alternative: Control.pade().                                                                                   |
|     +, -, /, *                               |     Operations   with transfer functions                                                                                                                                                                                                                                                                                                                     |     Supported   as long as deadtime are same                                                               |     Has own   operators build in                                                                                                                     |
|     Chapter 2                                |                                                                                                                                                                                                                                                                                                                                                              |                                                                                                            |                                                                                                                                                      |
